machineID,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,rul
1,171.0250328,454.6143475,102.3776653,41.5069299,17.62375939,43.64828325,8.54095852,4.298246263,171.6987742,452.8435412,100.5291773,44.87464912,1.879874484,5.011519293,2.141368801,5.217156068,59
1,174.1394098,444.3377719,96.67484167,41.70277086,10.61160844,39.45093102,10.66984368,5.808709153,172.5675045,452.3445623,100.173224,45.36087424,1.781676322,5.818803536,2.658025287,4.646502854,58
1,172.1359307,446.1267813,102.0970393,39.28198322,13.82986778,38.44590761,9.558219003,4.133638983,172.6222418,449.7289702,100.9929853,43.60245259,1.758647591,4.817313259,2.442889165,5.01226221,57
1,169.3500524,466.8840901,100.1282596,38.57148227,14.6003522,40.67618611,8.463612972,4.632150331,171.5337667,453.3571481,100.728184,40.87869551,1.763872924,8.948939168,2.452398973,1.933708988,56
1,171.0062461,455.6955511,99.68023129,39.7893901,12.46118258,33.01959972,9.178725163,5.42778793,171.5313344,453.5317084,100.1916074,40.17051127,1.764769411,8.993078346,2.29361502,1.38071208,55
1,167.4056101,433.8717927,97.45383748,41.29073659,16.48249514,63.5853384,10.61434937,5.205885385,170.8074498,449.3831974,99.20684185,40.12727261,2.578897991,12.47789339,2.1743044,1.330883682,54
1,169.2340455,445.8743331,96.65055694,39.43796449,17.73787479,43.14886525,12.39045894,4.44406222,169.8263769,449.6905096,99.20198491,39.67431133,1.814110215,12.34073438,2.181389932,1.006489801,53
1,170.5734585,451.9787828,102.7620717,40.14000383,16.79006733,59.47117848,10.42648006,4.157037069,169.5138825,450.8609099,99.33499139,39.84591546,1.405330185,12.19489392,2.410304584,0.995966258,52
1,167.9810924,459.6683325,100.7726648,40.48599747,13.83422124,46.18998481,9.181120582,5.66934029,169.2400905,449.4177584,99.46387244,40.2288185,1.569044823,10.06574277,2.479559008,0.710676877,51
1,171.3076276,471.3304497,101.6830307,40.00075222,16.41903643,43.84587022,11.93500724,5.258277098,169.3003668,452.5447382,99.86443232,40.27109092,1.657169633,14.11685215,2.677146928,0.683781511,50
1,186.4427842,438.5381133,102.261363,40.49846263,14.45472711,58.21896341,8.655973293,4.596899231,173.1078016,453.4780023,100.8259374,40.11263613,7.562645307,12.65201364,2.448484814,0.434945285,49
1,193.1364054,455.412049,99.23309955,40.9859936,22.45099381,57.5986905,10.81670788,4.205389716,177.8882736,455.3855455,101.3424459,40.42224195,11.18759176,11.91663692,1.391917435,0.382427193,48
1,171.6421989,452.9650712,97.39032116,39.43312398,17.01672787,47.54007184,11.96458223,4.692881165,178.1020217,455.5828032,100.2680958,40.28086598,11.02187967,11.8541454,1.973736866,0.588167154,47
1,170.4430044,462.0818698,99.15957923,37.76309954,11.64881894,37.81541034,11.60531731,6.123618528,178.5944041,456.0655106,99.94547873,39.7362864,10.49931497,12.10851289,2.002271157,1.244788808,46
1,164.9865407,454.4392998,100.3503502,40.34014221,15.36191607,54.40602763,9.579587123,5.280350932,177.3301867,452.6872806,99.67894262,39.80416439,11.8851595,8.646218004,1.790669266,1.271776244,45
1,167.3168828,460.4097984,98.41349396,40.42227691,12.89808763,55.92992607,7.727485709,4.861446138,173.5050065,457.0616176,98.90936882,39.78892725,11.28156536,3.962088035,1.095129201,1.261795492,44
1,170.1671537,469.9686385,99.33104838,39.04039302,13.70262289,46.98769505,11.17807304,5.216541149,168.9111561,459.9729355,98.92895859,39.39980713,2.707720298,6.787558803,1.10321407,1.088436351,43
1,169.0361435,455.496026,101.8651504,39.22804517,14.0626898,45.82637155,10.28412099,4.422449798,168.389945,460.4791265,99.82392443,39.35879137,2.265265944,6.203531814,1.333915566,1.090728593,42
1,165.3717024,447.9883074,101.0660523,41.62492612,11.99062419,41.37127921,9.572166533,4.332940549,167.3756846,457.660414,100.205219,40.13115669,2.251490302,8.180178856,1.368568792,1.04464693,41
1,166.9212545,436.6742296,96.95227384,40.54602756,14.59353065,45.77714708,9.212848648,5.173290762,167.7626274,454.1074,99.52560378,40.17233376,1.872612414,12.59549643,1.98388048,1.058904384,40
1,179.2232327,456.9987139,101.5453439,40.32847707,17.39081422,47.28586645,7.49619898,6.547678387,170.1438974,453.4251831,100.1519738,40.15357379,5.404194225,12.25661547,2.038626514,1.054189671,39
1,192.3136272,454.429161,95.09687036,39.00765656,12.36159349,50.0923551,11.80179623,4.730322101,174.5731921,450.3172876,99.30513817,40.1470265,11.29407349,8.36548673,3.078899625,1.062897453,38
1,183.295335,454.3763565,100.7198499,37.38191575,19.96857632,48.51385913,12.21975351,2.713780305,177.4250304,450.0933537,99.07607806,39.77780062,11.34654514,8.205660385,2.876799244,1.630849163,37
1,169.1301339,440.1638739,103.7266323,39.29753826,16.42458322,39.40389419,10.5597545,5.109847402,178.1767167,448.528467,99.60819405,39.31232304,10.43639997,9.370838365,3.512684704,1.262349834,36
1,168.0726387,459.2997451,96.48340198,40.03246776,12.7840926,58.59204271,12.03672755,4.511045645,178.4069935,453.0535701,99.51441968,39.20961108,10.13429332,7.48941161,3.606322936,1.153033093,35
1,173.1606607,443.410469,96.98890259,40.31958202,14.55637323,48.77277018,11.63108017,4.125902334,177.1944791,450.3359211,98.60313141,39.20783207,10.37210695,8.137295369,3.539901557,1.150880076,34
1,164.9477437,443.7210085,100.862632,39.78189658,12.52643843,49.6313445,7.0217469,3.660637299,171.7213024,448.1942906,99.75628373,39.36268008,7.105244226,8.199570932,3.011905002,1.169154621,33
1,170.5310138,425.3134188,100.9573337,39.33083007,14.09510535,49.03270746,11.00120596,4.912674878,169.1684382,442.3817031,99.8037805,39.75246294,3.033601736,12.09666627,3.032699648,0.443177117,32
1,170.8143591,450.3424979,100.9639817,40.36865496,15.40957664,56.37629581,11.825328,4.609963179,169.5052832,444.4174279,99.25125039,39.96668628,3.120545772,12.4805043,2.303254321,0.426878722,31
1,167.3118364,438.3134078,99.83558681,40.54731518,12.15034301,40.34069497,11.46415186,4.848536295,169.3531227,440.2201604,99.92168736,40.06965576,3.224678216,9.364058588,1.70682142,0.502168028,30
1,167.5043061,439.1916247,99.57264211,39.9937818,17.56701056,39.7299317,9.503562166,4.523899729,168.2218518,439.3763915,100.4384353,40.00449572,2.455407654,9.193237458,0.677942025,0.482378348,29
1,170.4073912,432.6700906,100.3514764,38.85583085,18.61074445,49.40363673,11.0821973,5.359332057,169.3137813,437.166208,100.3362041,39.81928257,1.747237502,9.215973614,0.635174099,0.71223531,28
1,170.9733245,461.844851,101.5115455,40.64572806,14.09359026,41.6889618,9.574790826,4.557895597,169.4022434,444.4724944,100.4470465,40.08226217,1.833347789,11.63372666,0.798119619,0.729340713,27
1,167.3721351,445.2951594,100.812633,41.77189844,13.69266638,40.63813735,9.042897521,4.455123147,168.7137986,443.4630267,100.4167767,40.36291086,1.816737758,11.2082458,0.776181337,1.06145925,26
1,168.8478021,447.9883493,101.5322255,39.16199761,14.7882767,40.59298289,11.07575898,6.189286063,169.0209918,445.398015,100.7561045,40.08584735,1.641856027,10.92861114,0.827731459,1.175919821,25
1,167.7394533,448.0032702,97.4537161,42.92316533,13.12337685,44.74668929,8.36898994,4.310328441,169.0680213,447.1603441,100.3323193,40.67172406,1.590103075,10.3739725,1.684322845,1.721684451,24
1,172.3771927,450.1747666,95.44954759,38.13588945,11.75223741,54.6811077,9.264325592,3.279685349,169.4619816,450.6612793,99.35193352,40.52773578,2.150255309,6.486790074,2.75604268,1.92912644,23
1,168.8363353,430.5411771,98.50519933,39.33374505,14.0443848,43.09619154,9.632420138,3.641457995,169.0345837,444.4005445,98.7506643,40.26533918,1.980424374,7.93845098,2.481355307,1.997094582,22
1,172.9634654,444.6888347,98.73027119,39.60297119,15.03426734,35.42853398,11.39130802,5.234634649,170.1528498,444.2792796,98.33419194,39.83155373,2.350962775,7.92598993,2.208503544,1.815331135,21
1,172.1922698,443.3704178,102.8700192,39.91546819,13.79224904,37.63227057,7.1012837,4.31414761,170.8217433,443.3556933,98.60175068,39.98224784,2.362577815,7.649984298,2.715617948,1.776717562,20
1,166.4305764,444.4000712,101.0488097,41.29906585,16.59428614,53.76945465,10.65092886,4.847075057,170.5599679,442.6350535,99.3207694,39.65742794,2.81807998,7.262630108,2.809959889,1.138461168,19
