s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,target
172.6405266,454.1268236,102.5503157,39.69348198,15.1748242,55.18111587,9.154152972999999,5.38030679,171.2050069,454.28583,101.514442,43.86169996,3.967380339,6.907192364,0.7700124859999999,5.111529583,1.899245273,0
166.7816557,445.12940080000004,100.6454521,39.22856723,13.28187956,50.17467691,10.21409518,4.884483182,171.4397998,452.599971,101.2443371,43.63974008,3.5679433830000002,8.061297891,0.795324013,5.322514658999999,1.878083986,0
165.4551864,462.93526039999995,101.0610679,38.78138288,16.41739669,42.32059204,9.550920706,4.054434476,169.8306007,456.4059603,101.20676850000001,43.31339073,4.1695195410000006,7.394786595,0.79947965,5.61196822,1.8571584769999998,0
167.3937563,442.8398612,105.22155020000001,41.378398600000004,16.02477119,54.49181715,8.616292291,5.98484375,169.5534592,453.6075041,102.1385947,41.57788022,4.300838815,9.531947616,1.865372403,4.159291973,1.836466119,0
170.2622794,461.6634965,101.7197373,41.23260698,17.2365438,53.08238248,8.317854357,3.710042596,168.50668090000002,453.33896849999996,102.2396246,40.06288753,2.9024445739999996,9.214601951,1.815838235,1.180425557,1.816004314,0
166.6306529,448.2691151000001,98.99004923,40.46973595,11.06207778,41.67887486,9.391575137,5.759640902,167.3047062,452.16742680000004,101.5275713,40.21813833,1.796094544,9.458537215,2.297671964,1.170701618,1.795770493,0
167.79447340000002,462.11873990000004,99.08105982,40.27088772,14.27638546,56.49600124,9.9482507,4.511076376,167.5072697,455.5652946000001,101.2146929,40.42660243,1.77939264,9.349104216,2.5414073569999998,1.0354243379999999,1.775762116,0
171.96365580000003,446.22675430000004,98.67288393,40.94362954,15.21861858,46.65270247,9.832169085,4.974824697,168.8089636,452.22359339999997,100.7370561,40.85905176,2.227175848,9.037146985,2.7897810389999997,0.47799628200000005,1.755976671,0
170.4351026,444.5705153,99.67059943,38.80768931,14.92726521,43.50561552,8.624671756,3.88550568,169.41723280000002,452.56972419999994,99.62686594,40.3449099,2.158286825,8.610984919,1.224290052,0.9394917909999999,1.736411675,0
168.2663481,438.17587010000005,100.68380090000001,38.33156006,15.85730805,41.14431675,10.89101919,4.5549509210000005,169.0180465,447.8721989,99.41967866,39.76470052,2.147468951,8.814035234,0.7933966240000001,1.130590126,1.717064671,0
166.26788069999998,441.1072978,100.5286497,39.39523341,12.94973302,52.62779654,10.69145669,4.390183519,168.9454921,446.4398355000001,99.72739876,39.54980001,2.251884473,9.301839711,0.878875685,1.0631857740000001,1.697933231,0
169.3900487,443.1959436000001,99.62826375,40.03639691,11.55646248,38.21570219,9.184352688999999,4.862527976,169.2646072,442.6552762,99.83683955,39.50290185,2.159140398,3.129585992,0.8096105809999999,1.028016031,1.6790149509999999,0
167.5035493,441.33112300000005,102.5487637,41.48919508,12.24459756,58.39293037,9.890224756,4.645991018999999,168.37258590000002,441.67615,100.6120155,39.61201495,1.61906613,2.417732349,1.185024103,1.22855647,1.6603074580000001,0
168.3267138,446.8967346,100.98567800000001,39.58531123,12.77630236,36.92283149,8.469404927000001,3.990722157,167.9509081,442.1413938,100.87503120000001,39.76753934,1.155916199,3.208450268,1.063555544,1.147849965,1.6418084030000002,0
165.45740519999998,457.49961849999994,99.67822073,39.81880214,17.84020549,49.91672312,8.335822797,5.620132504,167.3891195,446.00614349999995,100.6739152,40.06498776,1.5719885230000001,6.830901285,1.195632636,0.831933253,1.623515464,0
173.32342769999997,445.57177029999997,101.77308620000001,41.70584674,15.78235863,50.69220882,12.22489785,3.817226766,168.8002289,446.89903799999996,100.9228025,40.52711042,2.910639093,6.3017564539999995,1.284085284,0.993039812,1.6054263430000002,0
169.540628,449.4847795,98.06452673,41.83297954,16.2854108,41.52185671,9.103395191,5.62622269,168.8303448,448.1568052,100.6100551,40.88642695,2.919034442,5.998162166,1.7748489440000002,1.0912681659999999,1.587538771,0
167.47968380000003,465.4717825,100.29247209999998,41.34475362,14.62510256,53.16474168,9.431279557,6.713741822,168.82557169999998,452.9849371,100.1587968,40.85753865,2.921764595,8.375201667,1.407520191,1.073082719,1.5698504999999998,0
172.3748203,444.7402631,98.93011203,39.42017371,13.12915997,42.27470276,12.76876706,4.860338404,169.635193,452.55364280000003,99.74768356,40.82451115,3.2870087710000004,8.811276533,1.405819661,1.123390781,1.5523593119999999,0
173.80238219999998,458.8516841,100.5724166,38.83597818,12.43790705,38.0019622,8.679554232000001,5.279327501,171.30418840000002,452.82405589999996,99.92652274,40.62794635,2.701922156,9.019304427,1.450927111,1.396213771,1.5350630090000001,0
171.1353215,426.13298330000003,104.84415849999999,41.73553293,16.53864473,44.90405402,8.177063937,5.86773491,170.8665672,448.9362985,100.5407372,40.63388359,2.4594288140000002,15.08008481,2.612843561,1.4019944830000002,1.517959421,0
168.6744668,440.4849799,102.4214466,40.51678625,16.56115757,44.68895138,8.964284133,4.752931501,170.69333490000002,447.1363386,101.4121212,40.37064494,2.602513346,15.52868723,2.286739238,1.234074742,1.5010464,0
168.1617534,454.6795578,99.51487044,39.40890533,16.45593708,55.34735056,9.067717606,4.757203136,170.8297489,444.9778937,101.25660079999999,39.98347528,2.402114188,12.86446402,2.4052920209999997,1.153073665,1.4843218230000002,0
168.1889604,461.50068839999994,101.0761339,39.86202906,14.85345694,39.05385572,8.399525135,5.043876075,169.99257690000002,448.32997869999997,101.6858052,40.07184635,2.4577857659999998,14.82178839,2.051868357,1.115426913,1.46778359,0
168.5697404,441.2543261,101.94543940000001,40.50994743,17.61999794,63.49031917,11.55405205,5.804480812,168.94604850000002,444.81050710000005,101.9604098,40.4066402,1.24464674,13.74924377,1.955210501,0.877615604,1.451429626,0
169.52492959999998,454.4443295,103.6805907,40.49282029,16.64499034,46.34678738,10.66215871,5.3674810189999995,168.62397009999998,450.4727763,101.72769620000001,40.15809767,0.552289874,9.217117135,1.5543189880000001,0.503348975,1.4352578759999999,0
167.5719496,453.4615113,98.52819104,40.16860782,14.03973032,57.31712357,11.436704400000002,4.820413212,168.4034667,453.0680826,100.94904509999999,40.08846199,0.72131562,7.336882469,2.024085346,0.463855605,1.419266311,0
172.05975159999997,466.15031749999997,101.8935824,38.4881154,13.27001943,49.69704657,11.05526873,5.617015834,169.1830663,455.36223459999997,101.4247875,39.904303999999996,1.757292039,9.454519141,1.8769207209999998,0.8352229059999999,1.403452924,0
172.2064407,453.40775279999997,101.853351,40.34046395,16.02478272,50.30430949,11.84250159,4.321087501,169.9865624,453.74364739999993,101.5802309,39.99999098,2.078269586,8.811810129,1.873006915,0.856308583,1.387815728,0
168.1556791,447.829908,97.46278071,40.08447534,15.990484200000001,56.15656864,10.48804415,4.515248233,169.9037501,455.0587638,100.6836992,39.91489656,2.1556482580000003,6.725576222999999,2.590067213,0.81300896,1.372352761,0
167.2815071,453.66515250000003,97.33047418,39.41988859,18.38252541,48.36690133,9.974060844,5.6117457470000005,169.45506559999998,454.9029284,99.41367586,39.70031022,2.465428057,6.752345922999999,2.293019594,0.76235406,1.357062081,0
171.40629730000003,444.90794460000006,100.53590759999999,39.57668225,14.38162394,48.93973023,7.959382015,4.439069319,170.2219352,453.19221510000006,99.81521917,39.58192511,2.325622305,8.148098247,2.274911592,0.7160029509999999,1.34194177,0
170.01863730000002,434.05003889999995,99.74425364,39.43038051,17.31797011,56.5401059,9.673404833,5.3734985989999995,169.81371230000002,446.77215930000006,99.38535342,39.77037813,2.089533894,8.031048078,1.9661135980000002,0.418214745,1.326989928,0
163.960648,445.9232924,100.1937855,40.56358127,12.11758291,48.07801818,10.22733995,4.52022467,168.16455380000002,445.27526730000005,99.05344033,39.81500159,2.846014781,7.1322678360000005,1.5390037140000001,0.498455466,1.3122046790000002,0
