s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,target
176.8169853,426.9836982,101.87160920000001,40.04387983,12.21425882,37.46787439,11.91212487,4.684292033999999,169.9986045,444.114837,100.33040179999999,39.7567467,4.058547289,15.69298167,2.899859471,0.222877097,1.819835444,0
168.9438948,456.7014398,99.47090918,38.18288709,13.94351087,50.55214943,8.161072148999999,5.263384953,170.0250896,446.48762220000003,99.82990412,39.42677391,4.049285124,16.69452347,2.757877008,0.7289622729999999,1.808461509,0
170.24460459999997,459.2786477,99.98259238,40.47119079,13.06561046,48.40479795,13.18676328,5.612771379,170.8247166,445.5504279,100.6909453,39.63598157,3.469871677,15.56118335,1.540819235,0.8656657459999999,1.797158662,0
166.11580849999999,460.86866610000004,102.0905351,41.162555499999996,13.37974106,61.21709918,10.76726373,4.8296144430000005,170.02901440000002,451.65839569999997,100.5545434,39.91962714,4.081502894,14.00907426,1.325637993,1.1083685970000001,1.785926457,0
169.8270079,454.64741969999994,98.80796189,39.01486527,14.56242342,54.16880097,8.0957476,4.58650667,170.3896602,451.6959743,100.4447216,39.7750757,3.937136418,14.01871531,1.4650568990000001,1.182678795,1.7747644530000002,0
167.556963,451.6365708000001,98.76493536,38.89636974,10.71144517,48.74464709,9.197821452000001,4.9698070780000005,168.5376558,456.62654879999997,99.82338678,39.54557368,1.700605465,3.669183462,1.3639057469999998,1.227948405,1.763672211,0
169.4565104,451.5238916999999,105.50693400000002,39.79250204,12.13933359,44.33624263,8.646286372,5.59873042,168.64017890000002,455.5910392,101.0305917,39.86749667,1.746063031,4.316298463,2.8430927089999996,0.9640171120000001,1.752649296,0
172.47211330000002,433.5148051,96.19970601,39.9382708,14.55449712,50.3532899,8.962682056,4.528452843,169.0856806,450.4382707,100.2740145,39.76091267,2.414131568,10.19225523,3.595476778,0.9084433959999999,1.741695274,0
169.7041503,457.43744289999995,100.57561070000001,38.11436753,11.91016872,58.63843568,12.04581341,3.528751259,169.803349,449.75202609999997,99.9710296,39.15127508,1.7535143290000001,9.399054091,3.465617801,0.739813475,1.730809714,0
167.3450792,449.46577560000003,101.20223990000001,40.34972383,15.17338231,57.44183575,10.123724699999999,4.177056116,169.3069633,448.7156972,100.44988520000001,39.41824679,2.068198888,9.001611581,3.429965955,0.901470773,1.7199921880000002,0
170.167004,454.8590067,102.1064438,39.67545062,17.66198326,43.1122206,14.04238968,6.665862791,169.82897140000003,449.3601844,101.11818690000001,39.57406296,1.8319725119999999,9.370805384,3.344049216,0.854839602,1.7092422719999998,0
