s_2,s_3,s_4,s_7,s_8,s_9,s_11,s_12,s_13,s_14,s_15,s_17,s_20,s_21,target
643.62,1597.0,1416.56,552.24,2388.2,9092.25,48.12,520.36,2388.13,8158.52,8.507,395,38.51,23.0456,0
643.67,1598.61,1425.44,551.53,2388.17,9087.67,48.01,519.81,2388.2,8164.07,8.4925,396,38.55,23.1323,0
643.57,1604.82,1422.12,551.79,2388.18,9088.04,47.85,520.58,2388.17,8161.6,8.5018,396,38.66,23.2464,0
643.09,1601.98,1422.52,551.31,2388.16,9090.04,47.87,519.98,2388.15,8162.06,8.5216,396,38.48,23.1038,0
643.28,1599.03,1423.95,551.67,2388.24,9092.67,48.26,519.69,2388.21,8162.92,8.5099,395,38.54,23.0906,0
643.3,1599.22,1422.66,552.35,2388.21,9092.46,47.99,519.86,2388.12,8171.62,8.5097,396,38.45,23.1463,0
643.51,1599.52,1427.19,551.99,2388.18,9093.02,48.08,519.98,2388.23,8167.62,8.5033,396,38.55,23.0678,0
643.46,1596.47,1428.95,551.93,2388.18,9100.96,48.13,520.42,2388.16,8171.14,8.517,396,38.5,23.1765,0
644.14,1602.23,1425.7,552.16,2388.18,9096.69,48.14,520.28,2388.2,8167.06,8.5385,395,38.31,23.0691,1
643.41,1600.64,1422.09,552.04,2388.17,9095.83,48.17,519.79,2388.21,8164.61,8.4886,395,38.5,23.1171,1
643.51,1598.22,1427.11,551.64,2388.2,9103.0,48.09,520.07,2388.16,8173.82,8.503,397,38.38,23.0776,1
643.82,1595.32,1427.64,551.14,2388.19,9103.17,48.29,519.85,2388.2,8172.94,8.5414,396,38.32,23.1135,1
643.8,1606.58,1436.86,551.45,2388.21,9100.06,48.18,520.52,2388.2,8172.4,8.5298,396,38.62,23.0372,1
643.66,1603.87,1423.12,552.23,2388.19,9107.39,48.03,520.35,2388.17,8179.97,8.5365,396,38.52,23.1414,1
643.61,1604.1,1429.91,551.25,2388.2,9107.12,48.2,519.68,2388.23,8176.82,8.5502,398,38.45,22.9884,1
643.45,1605.72,1427.91,551.25,2388.26,9106.14,48.05,519.87,2388.2,8179.78,8.5218,399,38.33,23.0421,1
643.37,1606.32,1432.81,551.4,2388.22,9109.17,48.17,519.51,2388.21,8176.87,8.5256,396,38.43,23.0116,1
644.29,1602.27,1421.12,551.24,2388.2,9115.67,48.2,519.92,2388.2,8177.88,8.4894,396,38.41,23.1275,1
643.67,1601.99,1436.34,552.28,2388.18,9119.4,48.18,519.23,2388.21,8181.73,8.5159,397,38.35,23.015,2
642.33,1589.39,1407.73,554.42,2388.09,9065.54,47.47,522.14,2388.1,8146.36,8.4451,392,38.91,23.2416,0
642.65,1586.85,1407.05,553.99,2388.06,9064.74,47.32,522.29,2388.07,8141.85,8.4543,392,38.74,23.5065,0
641.7,1583.06,1397.92,553.97,2388.0,9055.57,47.34,521.9,2388.05,8138.86,8.4192,392,38.87,23.3221,0
642.52,1584.19,1402.41,553.77,2388.07,9063.3,47.34,521.6,2388.06,8138.48,8.4328,392,38.86,23.427,0
642.41,1587.38,1400.73,553.94,2388.03,9057.34,47.43,521.75,2388.02,8138.52,8.3914,393,38.92,23.3399,0
642.45,1588.68,1398.73,554.03,2388.08,9053.5,47.37,521.87,2388.12,8140.44,8.4392,392,39.13,23.3291,0
642.76,1585.02,1400.97,553.84,2388.06,9067.56,47.31,521.68,2388.05,8142.13,8.4197,392,38.93,23.4027,0
642.19,1586.23,1399.29,554.26,2388.09,9059.63,47.48,521.81,2388.07,8140.29,8.4079,392,39.05,23.3508,0
642.7,1582.96,1401.05,554.15,2388.06,9057.86,47.42,522.11,2388.04,8137.18,8.4343,392,38.98,23.3708,0
642.49,1584.81,1401.99,554.14,2388.01,9067.05,47.38,522.22,2388.06,8140.04,8.4194,393,38.94,23.3621,0
642.22,1583.8,1403.49,554.0,2388.02,9064.52,47.15,522.08,2388.05,8139.59,8.3929,391,38.77,23.3473,0
641.87,1590.68,1403.76,553.73,2388.0,9062.78,47.42,522.35,2388.05,8140.31,8.4422,391,39.09,23.4389,0
642.17,1595.97,1407.32,553.84,2388.05,9052.96,47.38,521.92,2388.08,8140.89,8.3914,392,38.85,23.4165,0
642.14,1579.92,1403.23,553.46,2388.05,9056.61,47.53,522.04,2388.06,8143.19,8.4731,393,39.03,23.4137,0
642.56,1587.85,1401.8,554.13,2388.03,9060.89,47.18,522.4,2388.03,8140.65,8.4304,393,39.19,23.3667,0
642.53,1580.18,1402.35,553.59,2388.05,9057.94,47.45,522.22,2388.06,8140.54,8.4048,392,38.9,23.4223,0
642.6,1587.78,1397.58,553.68,2388.13,9064.49,47.36,522.23,2388.04,8146.08,8.4069,394,38.87,23.413,0
642.17,1593.15,1403.15,553.93,2388.05,9062.66,47.46,521.79,2388.07,8132.49,8.4432,393,38.85,23.3182,0
642.65,1583.6,1404.34,554.05,2388.07,9059.08,47.53,521.77,2388.06,8142.39,8.4088,392,38.91,23.4,0
642.8,1591.1,1401.42,553.37,2388.08,9060.61,47.31,522.12,2388.02,8143.12,8.4107,393,39.01,23.3917,0
642.52,1586.83,1395.11,553.99,2388.04,9061.02,47.37,522.24,2388.08,8141.38,8.4084,393,38.94,23.344,0
641.9,1587.96,1403.71,553.31,2388.07,9062.64,47.45,521.76,2388.02,8140.2,8.4549,391,38.96,23.2755,0
642.61,1585.59,1402.46,553.8,2388.05,9059.24,47.39,521.71,2388.03,8140.34,8.4261,393,38.81,23.4494,0
642.54,1590.73,1409.08,553.73,2388.08,9060.44,47.47,521.6,2388.05,8135.1,8.4626,394,38.84,23.3491,0
642.74,1583.09,1408.11,553.66,2388.03,9068.35,47.39,521.76,2388.04,8143.61,8.4221,392,38.96,23.2925,0
642.46,1585.87,1399.51,553.91,2388.03,9064.76,47.43,521.94,2388.04,8143.51,8.4352,392,39.06,23.3651,0
642.45,1580.47,1404.09,553.62,2388.03,9056.23,47.51,521.86,2388.06,8141.92,8.4066,392,38.92,23.3085,0
642.58,1590.89,1404.78,553.79,2388.12,9055.96,47.37,521.99,2388.06,8143.09,8.4273,392,38.84,23.3255,0
642.09,1590.18,1406.27,554.06,2388.1,9062.46,47.52,521.81,2387.99,8136.68,8.3914,392,39.01,23.3982,0
642.37,1588.81,1407.05,554.48,2388.07,9061.41,47.38,522.09,2388.08,8144.91,8.4022,392,38.99,23.296,0
642.24,1586.54,1401.94,553.37,2388.07,9057.65,47.38,521.68,2388.06,8136.94,8.4212,391,38.96,23.3953,0
642.33,1587.83,1400.34,553.17,2388.07,9057.79,47.44,521.31,2387.98,8138.54,8.4097,392,38.83,23.2882,0
642.11,1585.96,1401.5,553.59,2388.04,9063.9,47.31,521.78,2388.04,8137.23,8.4329,392,38.81,23.3623,0
642.65,1585.09,1409.02,554.64,2388.02,9068.72,47.36,521.12,2388.07,8143.13,8.439,392,38.97,23.445,0
642.37,1584.34,1402.66,553.91,2388.04,9062.4,47.32,521.62,2388.06,8140.04,8.4361,392,39.01,23.3309,0
642.32,1592.96,1408.17,553.67,2388.08,9053.45,47.24,522.08,2388.04,8137.98,8.4265,391,38.95,23.3724,0
642.4,1589.56,1407.75,553.64,2388.06,9063.68,47.41,521.89,2388.05,8145.79,8.4056,393,38.83,23.4553,0
642.08,1592.01,1399.76,553.77,2388.07,9062.64,47.41,522.28,2388.04,8141.03,8.4077,391,38.87,23.3572,0
642.89,1588.75,1403.05,553.67,2388.1,9059.72,47.48,522.06,2388.08,8146.96,8.3639,393,38.87,23.3097,0
642.32,1589.66,1403.58,554.27,2388.03,9066.58,47.55,521.56,2388.04,8136.0,8.4324,391,38.89,23.3813,0
642.32,1591.26,1402.52,554.48,2388.05,9054.05,47.39,521.95,2388.07,8140.15,8.4321,392,38.91,23.3865,0
642.26,1587.45,1405.02,553.1,2388.06,9063.27,47.38,522.09,2388.06,8141.78,8.3915,391,38.92,23.315,0
642.96,1590.48,1408.62,553.67,2388.07,9060.8,47.21,521.88,2388.07,8144.56,8.4173,393,38.9,23.4905,0
643.41,1592.38,1396.65,553.89,2388.1,9062.26,47.53,521.72,2388.04,8143.21,8.4282,391,38.95,23.3288,0
641.79,1586.09,1403.7,553.82,2388.05,9062.88,47.28,522.23,2388.03,8138.64,8.3641,391,38.73,23.4475,0
642.17,1585.53,1400.26,553.45,2388.06,9060.16,47.51,521.56,2388.06,8137.7,8.4349,393,38.78,23.3843,0
642.77,1584.68,1404.72,553.59,2388.05,9061.08,47.36,521.93,2388.08,8135.36,8.4227,392,38.82,23.3819,0
642.36,1588.1,1402.17,554.29,2388.09,9059.12,47.3,521.89,2388.02,8143.47,8.4071,392,38.93,23.3574,0
642.52,1589.92,1401.57,554.27,2388.12,9061.55,47.43,521.76,2388.06,8141.58,8.4436,394,38.8,23.2958,0
642.3,1583.21,1400.47,554.09,2388.05,9066.75,47.37,521.66,2387.99,8142.71,8.412,391,38.88,23.3694,0
642.55,1590.24,1407.33,553.97,2388.07,9063.05,47.25,521.91,2388.14,8142.94,8.4244,392,39.04,23.4124,0
642.41,1592.82,1399.7,553.55,2388.07,9069.62,47.46,521.69,2388.08,8139.75,8.4019,392,38.93,23.2233,0
642.75,1598.02,1405.6,553.64,2388.07,9065.73,47.36,522.17,2388.06,8137.61,8.441,393,38.82,23.3437,0
642.79,1584.54,1398.43,553.58,2388.06,9062.75,47.46,522.03,2388.05,8138.16,8.4285,392,38.86,23.4542,0
642.67,1592.11,1406.87,554.14,2388.08,9061.96,47.35,521.04,2388.08,8147.12,8.4057,392,39.03,23.3498,0
642.24,1592.0,1407.28,553.86,2388.07,9062.89,47.37,521.9,2388.09,8144.9,8.412,393,38.72,23.3746,0
641.98,1581.24,1398.28,553.59,2388.03,9066.27,47.52,522.12,2388.03,8147.9,8.3917,395,38.8,23.3231,0
642.9,1595.09,1401.57,554.2,2388.07,9067.38,47.45,521.8,2388.04,8149.0,8.4625,394,38.94,23.3368,0
642.57,1590.82,1402.28,554.04,2388.06,9063.4,47.51,521.69,2388.07,8141.76,8.4625,392,38.96,23.3725,0
642.67,1592.16,1410.95,553.52,2388.05,9062.9,47.33,521.76,2388.05,8138.47,8.4645,392,38.83,23.416,0
642.73,1592.11,1407.31,553.88,2388.13,9061.37,47.28,521.71,2388.09,8140.45,8.472,394,38.99,23.4569,0
642.78,1586.26,1403.0,554.02,2388.08,9060.22,47.44,521.69,2388.05,8139.27,8.4158,393,38.77,23.243,0
642.57,1584.07,1401.63,553.18,2388.04,9066.16,47.42,521.9,2388.1,8144.21,8.4335,394,38.84,23.3984,0
642.37,1583.46,1408.07,553.38,2388.07,9065.92,47.34,521.64,2388.03,8144.66,8.4185,393,38.84,23.4021,0
642.21,1590.83,1403.41,553.78,2388.03,9058.46,47.3,521.87,2388.0,8140.95,8.4264,393,38.98,23.2507,0
642.7,1589.4,1403.22,554.05,2388.08,9062.89,47.34,521.66,2388.12,8136.21,8.4331,392,38.79,23.275,0
642.99,1590.4,1405.79,554.06,2388.07,9063.3,47.43,521.98,2388.03,8147.6,8.436,392,38.65,23.3821,0
642.52,1587.8,1398.04,554.47,2388.06,9064.4,47.35,521.31,2388.0,8140.67,8.4144,392,38.93,23.3725,0
642.68,1590.93,1400.3,553.84,2388.04,9065.83,47.36,521.57,2388.05,8142.0,8.4616,392,38.74,23.2457,0
642.78,1588.58,1407.24,553.88,2388.09,9071.85,47.59,522.02,2388.07,8142.5,8.4181,392,38.82,23.3538,0
642.69,1589.16,1404.61,553.29,2388.07,9058.07,47.44,521.77,2388.08,8139.74,8.4565,392,38.88,23.1929,0
642.54,1598.75,1401.51,554.12,2388.1,9057.56,47.46,521.81,2388.11,8143.3,8.4469,391,38.88,23.1876,0
642.49,1588.8,1412.01,554.08,2388.08,9066.95,47.64,521.33,2388.09,8145.13,8.3923,392,38.79,23.3735,0
642.56,1590.85,1409.58,553.82,2388.08,9070.88,47.29,521.69,2388.09,8149.19,8.458,393,38.81,23.3089,0
642.35,1585.98,1407.58,554.04,2388.11,9065.16,47.38,522.0,2388.0,8143.67,8.4079,394,38.93,23.35,0
642.87,1586.4,1408.82,554.35,2388.07,9069.67,47.56,521.43,2388.06,8150.36,8.4113,393,38.89,23.3097,0
642.18,1588.19,1401.85,553.23,2388.09,9068.67,47.63,521.84,2388.1,8147.11,8.4027,393,38.94,23.2504,0
