s_2,s_3,s_4,s_7,s_8,s_9,s_11,s_12,s_13,s_14,s_15,s_17,s_20,s_21,target
642.55,1588.89,1409.39,552.81,2388.02,9054.28,47.39,522.06,2388.05,8138.09,8.4392,392,38.93,23.3122,0
642.74,1598.76,1403.81,553.61,2388.1,9060.95,47.5,521.59,2388.1,8148.09,8.4559,394,38.81,23.4572,0
642.22,1594.91,1407.94,553.78,2388.12,9054.43,47.6,521.47,2388.07,8141.32,8.4538,392,38.76,23.3412,0
642.54,1595.64,1407.83,553.75,2388.1,9067.27,47.56,521.84,2388.06,8148.16,8.427,392,38.76,23.3009,0
642.2,1584.1,1404.65,553.97,2388.09,9073.22,47.4,521.95,2388.03,8145.1,8.438,392,38.78,23.3788,0
642.13,1594.0,1403.51,554.17,2388.08,9064.92,47.6,521.71,2388.04,8137.12,8.4358,394,38.73,23.3198,0
642.64,1587.46,1406.33,553.7,2388.06,9066.72,47.36,521.43,2388.07,8143.3,8.4273,394,38.96,23.32,0
642.82,1587.87,1403.56,552.75,2388.02,9067.0,47.41,521.61,2388.04,8142.27,8.4179,393,38.84,23.2739,0
643.47,1599.49,1412.56,553.26,2388.03,9065.57,47.58,521.42,2388.09,8142.44,8.4364,393,38.91,23.2206,0
642.92,1587.75,1409.02,553.72,2388.1,9063.76,47.6,521.06,2388.07,8141.16,8.4496,392,38.59,23.2256,0
642.49,1590.1,1406.79,553.93,2388.06,9064.79,47.45,522.13,2388.09,8142.68,8.4271,393,38.84,23.2634,0
642.54,1597.47,1412.95,553.03,2388.11,9063.0,47.36,521.54,2388.04,8145.1,8.3831,393,38.83,23.3583,0
642.46,1588.63,1407.49,553.04,2388.13,9070.4,47.65,521.33,2388.03,8148.06,8.416,392,38.98,23.2768,0
643.0,1590.6,1409.38,553.97,2388.06,9062.41,47.48,521.7,2388.08,8147.5,8.432,392,38.77,23.2928,0
642.67,1586.9,1414.92,553.86,2388.08,9066.09,47.69,521.49,2388.07,8140.94,8.4608,393,38.93,23.3412,0
642.38,1585.34,1414.19,553.43,2388.11,9062.11,47.56,521.48,2388.07,8146.9,8.4378,393,38.78,23.3061,0
642.65,1593.33,1402.2,553.57,2388.08,9068.13,47.44,521.58,2388.09,8142.36,8.4382,394,38.79,23.2979,0
642.53,1584.06,1407.81,554.17,2388.06,9057.95,47.71,521.53,2388.11,8140.1,8.4458,393,38.96,23.4223,0
642.84,1592.21,1416.19,553.35,2388.11,9063.56,47.78,521.74,2388.02,8145.2,8.4384,392,38.84,23.3298,0
642.37,1592.27,1408.12,553.74,2388.09,9068.32,47.53,521.35,2388.06,8147.29,8.4347,392,38.76,23.2929,0
642.42,1592.85,1400.04,554.27,2388.07,9076.72,47.41,521.93,2388.12,8144.31,8.4468,394,38.85,23.2468,0
642.4,1588.46,1413.29,554.52,2388.08,9067.37,47.53,521.81,2388.08,8143.75,8.4077,392,38.98,23.321,0
642.79,1591.82,1411.51,553.84,2388.07,9061.56,47.58,521.86,2388.09,8144.97,8.4561,392,38.89,23.397,0
642.07,1593.57,1406.57,554.35,2388.03,9070.99,47.38,521.63,2388.1,8141.89,8.3954,393,38.78,23.2521,0
642.48,1592.44,1417.12,553.31,2388.12,9073.88,47.64,521.32,2388.09,8149.62,8.45,392,38.89,23.2779,0
642.66,1587.25,1415.19,552.24,2388.11,9068.71,47.54,521.23,2388.1,8149.17,8.4804,393,38.83,23.2497,0
643.17,1591.83,1411.39,553.33,2388.03,9066.28,47.57,521.35,2387.99,8147.14,8.4248,395,38.67,23.2759,0
642.62,1597.18,1406.09,553.53,2388.08,9066.98,47.85,520.85,2388.07,8149.19,8.4239,393,38.8,23.3166,0
642.59,1593.82,1412.66,553.57,2388.04,9065.53,47.55,521.48,2388.13,8141.64,8.4319,392,38.84,23.4029,0
642.67,1591.63,1404.44,553.73,2388.05,9065.69,47.53,521.18,2388.04,8148.06,8.4393,394,38.79,23.2819,0
642.74,1594.84,1413.8,552.93,2388.08,9068.47,47.5,520.87,2388.1,8146.03,8.4791,394,38.83,23.3546,0
642.27,1595.86,1412.19,553.21,2388.1,9067.69,47.67,521.56,2388.09,8151.92,8.4389,392,38.97,23.3161,0
643.23,1592.0,1415.99,552.65,2388.07,9075.37,47.5,521.52,2388.08,8152.17,8.4339,394,38.93,23.2887,0
642.81,1590.76,1412.18,553.11,2388.08,9068.16,47.52,521.75,2388.11,8150.59,8.449,394,38.8,23.2125,0
642.66,1598.6,1405.06,553.16,2388.02,9074.24,47.62,521.28,2388.05,8148.44,8.4392,394,38.76,23.3313,0
643.05,1591.53,1406.39,553.7,2388.07,9068.37,47.52,521.24,2388.06,8149.72,8.481,393,38.67,23.2416,0
642.51,1584.53,1406.56,553.04,2388.09,9074.22,47.47,521.28,2388.08,8151.98,8.4587,394,38.75,23.2314,0
642.77,1598.25,1413.02,553.62,2388.07,9071.24,47.55,521.56,2388.11,8153.03,8.4774,395,38.64,23.206,0
642.83,1593.36,1410.94,552.94,2388.1,9072.56,47.5,521.07,2388.09,8153.19,8.4347,393,38.76,23.261,0
642.68,1597.77,1413.22,553.04,2388.13,9075.76,47.72,521.45,2388.13,8146.7,8.457,393,38.63,23.3135,0
642.98,1590.69,1402.08,553.3,2388.12,9079.71,47.35,521.21,2388.07,8157.36,8.4685,393,38.7,23.1859,0
642.56,1586.7,1405.69,553.78,2388.06,9074.1,47.63,521.57,2388.09,8152.65,8.4524,395,38.77,23.3222,0
642.53,1590.64,1410.05,553.55,2388.12,9076.86,47.78,521.37,2388.09,8155.8,8.471,395,38.63,23.1651,0
642.32,1597.28,1412.79,553.1,2388.1,9072.29,47.73,521.18,2388.09,8152.51,8.4495,393,38.82,23.308,0
642.7,1588.18,1410.98,552.89,2388.09,9079.24,47.46,520.95,2388.11,8154.3,8.442,395,38.68,23.3027,0
642.94,1595.36,1412.67,552.81,2388.08,9080.07,47.59,521.88,2388.1,8158.88,8.4542,390,38.74,23.2121,0
642.6,1597.6,1409.75,553.3,2388.1,9081.31,47.48,520.94,2388.1,8150.12,8.4698,394,38.79,23.2105,0
