s_2,s_3,s_4,s_7,s_8,s_9,s_11,s_12,s_13,s_14,s_15,s_17,s_20,s_21,target
643.28,1589.35,1399.41,553.2,2388.06,9038.5,47.5,521.8,2388.12,8130.49,8.4227,392,38.8,23.2464,0
642.08,1589.42,1405.01,553.26,2388.1,9048.46,47.47,521.77,2388.07,8125.34,8.4351,393,39.02,23.2556,0
642.99,1591.48,1407.33,554.67,2388.11,9044.54,47.52,521.86,2388.11,8124.97,8.406,391,39.0,23.3288,0
643.18,1584.5,1405.55,553.17,2388.17,9043.29,47.49,521.71,2388.15,8125.37,8.3998,391,38.67,23.3644,0
642.39,1585.97,1411.73,553.59,2388.06,9039.25,47.42,521.76,2388.08,8125.82,8.4401,393,38.97,23.2636,0
641.96,1588.3,1407.71,553.56,2388.12,9042.57,47.44,521.56,2388.12,8125.53,8.4408,392,39.0,23.3186,0
642.44,1592.5,1405.5,553.86,2388.09,9048.41,47.46,521.42,2388.12,8124.53,8.4543,394,38.85,23.3436,0
642.03,1587.3,1402.02,553.17,2388.04,9049.42,47.48,521.69,2388.11,8120.18,8.4543,393,38.84,23.2403,0
642.34,1589.81,1409.84,553.82,2388.04,9046.18,47.56,521.56,2388.05,8128.18,8.3946,393,38.83,23.3812,0
642.58,1584.11,1401.97,553.24,2388.17,9044.92,47.53,522.15,2388.19,8128.63,8.4156,392,38.62,23.2887,0
642.5,1588.33,1408.14,553.41,2388.1,9044.26,47.57,521.99,2388.1,8125.07,8.431,392,38.92,23.3188,0
642.05,1584.17,1408.17,554.06,2388.1,9051.43,47.54,521.23,2388.05,8127.08,8.4416,392,38.95,23.2691,0
642.31,1591.68,1411.88,553.39,2388.1,9044.18,47.33,521.71,2388.15,8122.85,8.4333,393,38.75,23.3553,0
642.79,1587.65,1406.43,554.1,2388.09,9043.76,47.31,521.63,2388.09,8125.18,8.4277,392,38.8,23.3109,0
642.91,1586.71,1419.67,553.01,2388.15,9041.27,47.57,521.47,2388.06,8128.76,8.3999,394,38.97,23.3608,0
642.18,1581.1,1412.18,554.24,2388.12,9046.29,47.52,521.76,2388.07,8129.31,8.4329,393,38.76,23.3913,0
