s_2,s_3,s_4,s_7,s_8,s_9,s_11,s_12,s_13,s_14,s_15,s_17,s_20,s_21,target
642.67,1597.92,1411.85,552.22,2388.19,9049.57,47.79,520.79,2388.17,8131.51,8.4292,394,38.67,23.1413,0
643.26,1592.93,1412.85,552.02,2388.18,9054.82,47.86,520.66,2388.25,8129.28,8.4899,393,38.45,23.2457,0
643.28,1595.29,1427.59,552.32,2388.17,9053.81,47.83,520.66,2388.25,8130.5,8.4771,394,38.64,23.139,0
642.6,1591.08,1411.14,552.33,2388.22,9052.93,47.82,519.88,2388.19,8131.82,8.4957,393,38.66,23.1918,0
643.27,1606.79,1418.33,552.29,2388.19,9053.57,47.89,520.46,2388.2,8129.32,8.4544,394,38.6,23.2397,0
643.1,1590.49,1417.6,552.26,2388.21,9050.85,47.89,520.82,2388.18,8132.4,8.4563,394,38.54,23.1642,0
643.14,1600.49,1414.18,552.22,2388.23,9047.31,47.78,520.54,2388.23,8121.07,8.5095,396,38.65,23.1762,0
643.26,1604.58,1427.97,552.47,2388.22,9046.26,48.01,520.53,2388.22,8123.03,8.5038,396,38.57,23.2898,0
643.35,1591.18,1425.24,552.06,2388.19,9051.62,47.94,519.9,2388.18,8125.9,8.4583,395,38.65,23.1623,0
643.19,1596.87,1416.53,552.23,2388.19,9051.37,47.7,520.57,2388.23,8132.45,8.4483,396,38.36,23.246,0
643.5,1596.65,1420.56,551.97,2388.23,9046.68,47.91,520.1,2388.22,8126.62,8.4957,394,38.59,23.1847,0
642.41,1604.84,1420.7,552.66,2388.23,9049.47,48.08,520.6,2388.25,8128.08,8.4771,395,38.65,23.1527,0
642.93,1598.21,1415.41,552.29,2388.18,9060.59,47.93,520.43,2388.26,8127.4,8.4698,396,38.62,23.171,0
643.28,1594.03,1421.66,552.04,2388.17,9043.2,48.07,520.66,2388.15,8128.93,8.49,396,38.54,23.178,0
643.69,1598.21,1423.87,551.89,2388.19,9047.17,48.21,520.47,2388.17,8122.47,8.4957,396,38.63,23.1818,0
643.37,1594.68,1423.53,551.57,2388.22,9051.27,48.15,520.34,2388.27,8126.04,8.4898,395,38.63,23.1122,0
643.98,1595.32,1429.25,552.19,2388.21,9047.58,47.93,519.77,2388.23,8128.88,8.4865,394,38.7,23.1928,0
643.52,1600.61,1423.13,552.43,2388.21,9043.86,48.16,520.32,2388.29,8129.98,8.5174,396,38.42,23.0305,0
643.22,1600.63,1420.58,551.78,2388.26,9047.4,47.92,520.03,2388.19,8130.27,8.4755,395,38.59,23.1057,0
642.98,1606.34,1422.75,551.1,2388.26,9045.3,47.96,519.28,2388.2,8122.55,8.5229,393,38.42,23.1375,0
643.62,1598.21,1432.73,551.43,2388.29,9045.11,48.03,519.9,2388.2,8126.02,8.5313,395,38.44,23.1149,1
643.35,1595.95,1423.18,551.37,2388.29,9046.08,48.0,520.09,2388.25,8119.34,8.4932,396,38.63,23.0751,1
643.05,1601.52,1426.01,552.04,2388.29,9047.34,48.11,520.25,2388.28,8118.91,8.5264,397,38.5,23.1028,1
643.51,1601.75,1424.33,551.33,2388.3,9050.69,48.13,519.77,2388.25,8127.06,8.5089,395,38.51,23.0634,1
642.77,1594.36,1426.05,551.45,2388.22,9044.63,48.22,520.05,2388.22,8126.02,8.5145,396,38.59,23.0135,1
644.11,1602.35,1429.78,551.66,2388.3,9050.49,48.26,519.23,2388.3,8125.82,8.5085,396,38.45,23.0127,1
643.48,1602.57,1428.95,550.93,2388.2,9045.1,48.0,519.64,2388.27,8123.25,8.4803,396,38.52,23.0058,1
643.75,1606.56,1428.63,551.45,2388.28,9052.33,48.1,519.62,2388.3,8124.55,8.5289,397,38.4,23.1205,1
644.07,1602.77,1429.18,551.15,2388.32,9043.3,48.08,519.65,2388.25,8128.78,8.5153,394,38.48,23.0406,1
643.41,1601.56,1424.74,551.29,2388.27,9048.94,48.04,519.68,2388.3,8118.7,8.5001,396,38.29,23.1609,1
643.5,1599.79,1425.76,550.86,2388.34,9042.46,48.32,519.88,2388.35,8116.96,8.4871,397,38.46,23.0314,2
643.03,1588.85,1405.9,553.38,2388.17,9047.84,47.68,521.08,2388.14,8124.43,8.4717,393,38.79,23.3229,0
642.69,1587.64,1402.8,553.45,2388.09,9055.53,47.61,521.68,2388.15,8131.61,8.4412,394,38.79,23.371,0
642.56,1590.75,1403.3,552.79,2388.1,9054.0,47.54,521.37,2388.12,8132.46,8.4176,394,38.87,23.3437,0
642.33,1587.59,1410.18,553.67,2388.13,9044.51,47.48,521.69,2388.18,8131.52,8.4113,393,38.73,23.278,0
642.71,1590.78,1407.27,553.82,2388.15,9051.71,47.47,521.56,2388.13,8128.1,8.4297,394,38.78,23.2464,0
642.55,1592.45,1402.86,552.87,2388.09,9045.41,47.52,521.41,2388.08,8125.23,8.4464,393,38.85,23.271,0
642.69,1592.23,1407.25,552.91,2388.12,9053.34,47.69,521.31,2388.11,8125.77,8.4507,393,38.56,23.2722,0
642.89,1590.62,1409.63,552.9,2388.13,9054.27,47.66,521.35,2388.17,8132.59,8.4183,394,38.95,23.2828,0
642.9,1586.53,1410.39,553.12,2388.12,9044.04,47.5,521.49,2388.16,8124.42,8.4557,394,38.61,23.3429,0
642.65,1593.89,1409.03,553.6,2388.11,9056.44,47.78,521.21,2388.1,8126.57,8.4563,394,38.82,23.3468,0
643.04,1589.22,1405.68,553.43,2388.1,9051.52,47.74,521.12,2388.14,8128.24,8.4175,395,38.89,23.3806,0
642.71,1589.75,1402.48,553.3,2388.14,9051.09,47.45,520.95,2388.1,8132.71,8.4628,393,38.86,23.3214,0
643.17,1591.85,1411.06,553.13,2388.13,9049.86,47.44,521.1,2388.14,8126.33,8.4234,392,38.71,23.2398,0
642.71,1589.21,1409.66,552.75,2388.08,9046.65,47.35,521.57,2388.13,8132.63,8.4608,394,38.56,23.3053,0
643.19,1586.95,1415.05,553.31,2388.16,9052.67,47.52,521.49,2388.14,8133.39,8.404,394,38.73,23.2958,0
642.61,1585.11,1405.61,553.12,2388.12,9053.07,47.46,520.99,2388.08,8131.89,8.4164,394,38.93,23.3462,0
642.94,1590.4,1410.7,554.19,2388.17,9050.29,47.63,521.44,2388.11,8130.51,8.4677,394,38.77,23.2141,0
643.08,1587.97,1410.28,553.15,2388.13,9046.81,47.52,521.54,2388.1,8132.17,8.4542,394,38.85,23.4037,0
642.28,1588.93,1406.56,553.85,2388.17,9046.79,47.41,521.77,2388.09,8130.35,8.4351,392,38.78,23.1949,0
642.73,1587.11,1420.61,553.76,2388.07,9050.54,47.47,521.29,2388.17,8135.19,8.4827,393,38.92,23.2388,0
643.35,1597.23,1415.42,552.75,2388.14,9052.71,47.38,521.51,2388.12,8127.97,8.3979,395,38.69,23.3501,0
642.31,1591.53,1404.95,553.27,2388.14,9047.24,47.53,520.96,2388.06,8127.56,8.4311,392,38.76,23.4096,0
642.7,1594.49,1401.24,552.99,2388.17,9054.37,47.42,521.61,2388.12,8130.42,8.4518,393,38.8,23.2279,0
642.5,1590.83,1406.22,552.91,2388.16,9053.69,47.43,521.53,2388.11,8133.12,8.4314,394,38.87,23.33,0
642.9,1588.45,1414.77,553.52,2388.08,9052.01,47.5,521.37,2388.1,8134.85,8.4596,394,38.87,23.3002,0
642.39,1601.88,1410.55,552.61,2388.06,9051.55,47.48,521.53,2388.13,8130.17,8.4576,392,38.84,23.1325,0
643.35,1594.34,1411.97,553.71,2388.14,9050.91,47.54,520.92,2388.09,8124.48,8.4504,393,38.76,23.1795,0
642.72,1589.22,1406.5,552.14,2388.1,9051.1,47.54,521.72,2388.13,8126.7,8.4369,392,38.82,23.2714,0
642.58,1589.57,1410.51,553.41,2388.11,9049.8,47.57,521.21,2388.15,8130.62,8.4308,393,38.76,23.2873,0
642.81,1579.68,1406.51,553.2,2388.12,9053.92,47.63,520.76,2388.12,8126.31,8.4342,393,38.76,23.2309,0
643.15,1588.28,1407.18,553.05,2388.15,9048.26,47.45,521.56,2388.08,8124.44,8.4689,393,38.88,23.2711,0
642.96,1589.91,1413.24,553.52,2388.13,9050.34,47.39,521.26,2388.14,8128.42,8.4956,394,38.76,23.3232,0
643.33,1587.75,1407.25,553.56,2388.12,9056.46,47.43,521.45,2388.1,8129.92,8.4495,391,38.94,23.32,0
642.78,1593.39,1406.59,553.28,2388.1,9048.07,47.52,521.13,2388.11,8127.84,8.4566,394,38.71,23.2476,0
642.6,1593.3,1412.89,553.34,2388.16,9049.95,47.56,521.56,2388.11,8134.09,8.4384,392,38.81,23.2459,0
642.54,1575.9,1402.41,553.16,2388.14,9042.24,47.63,521.59,2388.2,8130.72,8.4476,393,38.78,23.2506,0
643.01,1593.56,1403.09,553.17,2388.15,9051.42,47.64,520.88,2388.13,8125.57,8.4312,393,38.83,23.29,0
642.77,1589.74,1408.53,553.79,2388.13,9050.46,47.63,520.85,2388.15,8127.17,8.4144,395,38.82,23.2964,0
642.89,1588.25,1402.41,552.66,2388.15,9042.74,47.56,521.49,2388.11,8124.09,8.4624,391,38.69,23.2767,0
642.72,1592.19,1408.56,553.1,2388.08,9051.46,47.55,520.98,2388.12,8122.4,8.4275,392,38.81,23.2703,0
642.74,1593.16,1410.51,553.94,2388.09,9056.94,47.53,521.29,2388.08,8133.92,8.4626,394,38.88,23.3179,0
642.43,1591.59,1415.57,553.47,2388.14,9055.64,47.63,521.16,2388.1,8126.23,8.4389,393,38.72,23.2562,0
642.47,1592.81,1409.94,552.88,2388.1,9053.41,47.59,521.64,2388.09,8133.25,8.4499,393,38.89,23.1593,0
