s_2,s_3,s_4,s_7,s_8,s_9,s_11,s_12,s_13,s_14,s_15,s_17,s_20,s_21,target
643.63,1593.07,1420.46,551.95,2388.22,9067.53,47.93,520.44,2388.1,8143.64,8.473,395,38.63,23.1526,0
643.17,1596.56,1413.66,552.89,2388.19,9063.72,47.72,520.91,2388.17,8143.27,8.5006,395,38.65,23.1441,0
642.89,1601.31,1422.88,551.74,2388.21,9063.5,47.88,520.7,2388.24,8143.94,8.4568,394,38.74,23.0713,0
642.81,1594.41,1411.02,552.88,2388.15,9066.44,47.99,520.28,2388.21,8140.37,8.4787,395,38.68,23.1269,0
642.69,1599.15,1421.81,552.03,2388.19,9062.13,47.9,521.2,2388.18,8139.42,8.484,394,38.55,23.1019,0
643.57,1591.15,1418.58,552.39,2388.15,9066.65,48.06,520.81,2388.18,8142.44,8.5218,394,38.63,23.2158,0
642.95,1595.89,1422.65,552.27,2388.15,9067.13,47.86,520.99,2388.15,8143.12,8.4909,395,38.52,23.2385,0
643.24,1593.58,1417.28,551.49,2388.21,9065.01,47.92,520.29,2388.18,8143.49,8.4816,395,38.52,23.07,0
643.03,1588.35,1415.63,552.29,2388.21,9071.69,47.84,520.29,2388.23,8144.02,8.4862,395,38.67,23.221,0
643.5,1600.79,1421.12,552.29,2388.16,9071.4,47.76,520.46,2388.23,8141.57,8.459,396,38.58,23.0613,0
642.54,1601.47,1433.21,552.04,2388.16,9067.04,48.15,519.72,2388.17,8140.49,8.4656,396,38.47,23.1044,0
642.6,1594.3,1425.26,552.45,2388.24,9075.76,47.72,520.23,2388.23,8142.39,8.4833,395,38.6,23.1094,0
643.05,1597.72,1411.04,551.41,2388.19,9062.43,47.92,520.33,2388.17,8140.91,8.4703,396,38.87,23.2369,0
643.37,1596.99,1424.85,551.63,2388.19,9071.75,47.99,520.53,2388.18,8140.09,8.4903,395,38.53,23.067,0
642.78,1599.24,1426.51,552.09,2388.2,9067.88,48.09,520.71,2388.15,8146.76,8.4899,394,38.52,23.1406,0
642.97,1601.54,1420.31,551.36,2388.18,9064.77,47.89,520.43,2388.18,8146.54,8.4785,395,38.58,23.0521,0
643.66,1597.72,1420.29,552.33,2388.2,9071.39,47.96,519.74,2388.22,8141.74,8.4903,395,38.58,23.2342,0
643.74,1595.32,1420.74,551.78,2388.25,9068.59,48.13,520.24,2388.23,8144.78,8.5043,396,38.49,23.204,0
643.6,1601.16,1420.51,552.08,2388.21,9071.16,48.02,520.01,2388.2,8141.03,8.4715,395,38.67,23.1415,0
643.61,1600.96,1426.23,551.96,2388.19,9067.78,48.04,520.45,2388.22,8148.33,8.5071,394,38.69,23.1659,0
643.6,1598.48,1423.82,551.9,2388.22,9071.33,47.96,519.91,2388.26,8143.42,8.5085,396,38.55,22.9923,0
643.71,1600.26,1427.83,551.37,2388.2,9069.39,47.95,520.48,2388.2,8143.73,8.5027,397,38.42,23.1,0
643.72,1602.51,1426.99,551.65,2388.21,9067.06,48.01,520.13,2388.21,8144.86,8.5006,395,38.64,23.0235,0
644.12,1600.51,1419.65,552.47,2388.25,9061.66,48.0,520.34,2388.22,8149.11,8.5402,395,38.51,23.1025,0
643.51,1597.19,1426.75,551.55,2388.2,9063.1,47.95,519.41,2388.24,8144.85,8.507,395,38.49,23.06,0
643.36,1600.44,1424.92,551.97,2388.22,9067.7,47.94,520.04,2388.2,8145.75,8.488,396,38.3,23.1529,0
643.41,1594.88,1426.76,552.72,2388.26,9077.09,47.99,519.72,2388.23,8144.47,8.5325,396,38.64,23.1548,0
643.17,1601.99,1417.47,552.29,2388.17,9073.09,48.05,519.29,2388.2,8143.57,8.5172,395,38.71,23.0966,0
643.52,1597.12,1425.51,551.92,2388.21,9070.27,48.13,520.07,2388.28,8149.67,8.4841,394,38.35,23.137,0
643.47,1600.6,1433.5,551.66,2388.18,9074.17,48.0,520.09,2388.21,8141.72,8.5054,395,38.51,23.0636,0
643.13,1599.29,1417.01,552.3,2388.23,9072.11,47.94,519.44,2388.2,8146.11,8.514,397,38.56,23.1708,1
643.89,1595.15,1420.89,550.43,2388.22,9076.79,48.09,519.92,2388.27,8147.28,8.4936,395,38.47,23.0928,1
643.49,1597.07,1425.52,551.51,2388.23,9074.17,48.04,520.1,2388.24,8140.46,8.51,395,38.61,23.1189,1
643.3,1600.38,1426.9,551.86,2388.18,9068.48,48.19,520.43,2388.25,8139.99,8.5451,396,38.43,23.0524,1
644.03,1592.36,1423.29,550.78,2388.19,9073.6,47.99,520.05,2388.22,8145.38,8.5072,395,38.58,23.1634,1
643.34,1597.71,1429.25,551.15,2388.23,9078.22,48.21,520.01,2388.22,8149.06,8.4967,395,38.38,23.0636,1
643.57,1605.67,1431.45,552.2,2388.24,9072.49,48.16,520.12,2388.24,8144.08,8.4887,396,38.6,23.1231,1
643.89,1603.35,1429.72,550.84,2388.22,9075.48,48.41,519.74,2388.22,8146.48,8.48,397,38.74,22.9885,1
643.85,1608.02,1432.08,551.34,2388.27,9075.69,48.17,519.28,2388.29,8139.51,8.523,397,38.33,23.146,1
643.93,1601.9,1437.23,551.67,2388.26,9077.16,48.23,519.97,2388.23,8143.94,8.5058,396,38.46,22.9783,1
643.86,1598.43,1430.93,551.74,2388.3,9070.66,48.15,519.73,2388.25,8143.3,8.5433,397,38.57,22.9964,2
642.24,1582.88,1410.66,553.57,2388.07,9047.42,47.44,521.76,2388.06,8128.48,8.4181,395,38.9,23.3554,0
642.27,1582.13,1404.54,553.22,2388.03,9043.88,47.25,521.39,2388.05,8120.15,8.3895,392,38.81,23.23,0
642.47,1589.73,1408.88,553.21,2388.11,9048.33,47.43,521.26,2388.12,8124.89,8.4454,392,38.69,23.3471,0
642.5,1587.18,1409.45,553.3,2388.05,9052.17,47.35,521.81,2388.08,8126.21,8.3913,393,39.0,23.4179,0
642.21,1596.51,1401.46,553.03,2388.04,9047.48,47.57,521.82,2388.1,8130.92,8.4825,393,38.88,23.2637,0
642.37,1592.15,1401.04,553.95,2388.06,9048.37,47.46,521.7,2387.98,8130.7,8.4145,391,38.95,23.4954,0
642.45,1593.79,1397.77,553.21,2388.08,9045.96,47.32,521.5,2388.1,8134.62,8.4465,392,38.94,23.3536,0
642.44,1585.67,1407.8,553.48,2388.16,9050.91,47.4,521.96,2388.06,8129.22,8.4318,392,38.91,23.3867,0
641.91,1590.36,1402.62,553.0,2388.1,9049.76,47.38,522.04,2388.1,8127.36,8.4487,391,39.03,23.2562,0
642.25,1582.71,1404.6,552.57,2388.07,9045.19,47.34,521.46,2388.09,8128.64,8.4286,392,38.81,23.2975,0
642.51,1585.7,1403.51,554.37,2388.12,9042.53,47.39,522.17,2388.12,8128.12,8.4436,392,38.81,23.4113,0
642.02,1590.84,1398.53,553.55,2388.07,9037.63,47.52,522.01,2388.07,8132.49,8.4336,392,39.01,23.3711,0
642.49,1587.28,1405.33,553.23,2388.04,9044.07,47.52,522.04,2388.13,8128.52,8.455,392,38.89,23.3916,0
642.76,1589.09,1408.25,553.68,2388.11,9039.23,47.43,522.27,2388.08,8126.26,8.4237,391,38.93,23.379,0
642.63,1587.31,1400.25,553.46,2388.1,9046.51,47.54,521.56,2388.12,8130.06,8.4479,393,38.89,23.371,0
642.53,1591.64,1403.06,553.67,2388.04,9043.0,47.5,521.48,2388.11,8124.5,8.4599,394,38.96,23.3728,0
642.42,1581.82,1402.04,554.46,2388.07,9048.32,47.51,521.34,2388.1,8127.03,8.3877,392,38.79,23.3632,0
642.83,1588.93,1404.68,553.92,2388.13,9043.56,47.5,521.43,2388.07,8128.01,8.406,392,38.92,23.357,0
641.95,1587.76,1405.51,554.13,2388.1,9041.95,47.31,521.9,2388.1,8122.4,8.4181,393,38.98,23.3561,0
642.15,1585.71,1406.4,553.98,2388.15,9044.17,47.26,522.29,2388.09,8126.48,8.4522,392,38.83,23.4062,0
643.19,1585.38,1402.15,553.49,2388.12,9050.29,47.41,521.69,2388.07,8128.46,8.4304,393,38.89,23.3401,0
642.1,1588.54,1402.64,553.92,2388.13,9040.15,47.16,521.86,2388.06,8129.3,8.4256,390,38.87,23.376,0
642.44,1592.31,1410.76,553.72,2388.09,9045.41,47.41,521.4,2388.1,8126.88,8.4147,392,38.9,23.2788,0
642.27,1587.87,1409.06,553.36,2388.16,9042.55,47.4,521.74,2388.12,8129.95,8.4303,393,38.69,23.3584,0
642.84,1582.84,1410.79,553.97,2388.12,9042.82,47.65,521.51,2388.09,8126.17,8.4385,393,38.9,23.2132,0
642.64,1581.12,1405.47,553.63,2388.06,9049.68,47.59,521.6,2388.12,8126.36,8.409,393,38.72,23.3239,0
642.29,1587.82,1401.12,552.92,2388.04,9049.75,47.34,522.11,2388.12,8127.71,8.4218,393,38.97,23.4011,0
642.45,1583.56,1408.53,553.39,2388.13,9050.08,47.32,521.97,2388.1,8125.51,8.3869,393,38.96,23.3508,0
642.73,1585.45,1404.01,553.64,2388.09,9046.99,47.36,521.57,2388.06,8124.32,8.4112,392,38.85,23.2393,0
642.84,1586.27,1406.22,554.25,2388.11,9043.42,47.32,521.89,2388.07,8131.47,8.4284,392,38.86,23.293,0
642.64,1589.99,1402.34,553.46,2388.1,9053.49,47.5,521.7,2388.12,8129.68,8.4407,393,38.77,23.4134,0
642.32,1589.92,1408.92,554.2,2388.12,9038.3,47.34,521.96,2388.12,8118.42,8.3924,392,38.93,23.2255,0
642.08,1581.76,1408.28,554.06,2388.09,9051.79,47.35,521.57,2388.09,8127.57,8.3731,393,38.63,23.3466,0
642.28,1597.13,1400.84,553.33,2388.08,9051.12,47.46,521.41,2388.12,8127.02,8.4478,393,38.97,23.3189,0
642.73,1590.73,1401.12,553.35,2388.09,9049.13,47.47,521.84,2388.13,8126.07,8.4416,393,38.88,23.3107,0
642.53,1582.95,1401.12,553.08,2388.07,9048.52,47.45,520.98,2388.12,8131.1,8.431,394,38.96,23.2136,0
643.21,1595.24,1405.24,552.95,2388.09,9041.04,47.42,521.39,2388.04,8132.82,8.4388,393,38.85,23.2727,0
